seed,traces,events,time,ram,locations,transitions
20250318,5,20,112.62339758872986,185.33984375,44,10
20250318,10,20,517.3312039375305,211.89453125,59,15
20250318,15,20,1720.4467148780823,256.2734375,53,21
20250318,20,20,2486.906560897827,320.8984375,84,25
20250318,25,20,3951.967446565628,392.40234375,94,31
20250318,30,20,3020.6086716651917,484.46875,97,32
20250318,35,20,5457.113932847977,590.78125,100,37
20250318,40,20,5301.57949757576,701.8046875,106,39
20250318,45,20,7842.331009149551,825.484375,114,43
20250318,50,20,3061.373991250992,938.69140625,112,43
20250318,10,5,1.8700199127197266,175.21484375,13,5
20250318,10,10,10.410930871963501,188.71484375,29,11
20250318,10,15,18.787539958953857,207.71484375,38,10
20250318,10,20,77.3484296798706,234.58984375,29,10
20250318,10,25,11.017169713973999,267.08984375,34,7
20250318,10,30,61.908161878585815,305.7578125,34,6
20250318,10,35,74.53776597976685,349.2578125,36,6
20250318,10,40,100.0075352191925,407.8828125,36,6
20250318,10,45,122.78788208961487,468.3828125,38,6
20250318,10,50,149.38454723358154,538.5078125,39,6
20250324,10,5,0.7235651016235352,176.01953125,4,14
20250324,10,10,1.3831243515014648,188.89453125,4,15
20250324,10,15,25.78648066520691,210.14453125,6,28
20250324,10,20,20.178886890411377,238.64453125,9,34
20250324,10,25,32.386768102645874,271.51953125,12,38
20250324,10,30,132.33273339271545,311.69921875,13,33
20250324,10,35,163.43110394477844,355.69921875,13,33
20250324,10,40,912.5490403175354,429.95703125,19,64
20250324,10,45,1068.0677616596222,488.4140625,19,64
20250324,10,50,1305.9788172245026,563.38671875,19,64
20250324,5,20,11.99723768234253,183.09765625,6,23
20250324,10,20,32.86897540092468,209.90234375,6,23
20250324,15,20,42.101572036743164,254.03125,6,23
20250324,20,20,44.796457290649414,317.94921875,6,23
20250324,25,20,34.757803440093994,390.4296875,6,23
20250324,30,20,65.09613418579102,479.34375,6,23
20250324,35,20,82.51638054847717,585.84765625,6,23
20250324,40,20,85.63638710975647,701.9140625,6,23
20250324,45,20,106.47763228416443,844.0234375,6,23
20250324,50,20,143.68765020370483,996.2421875,6,23
20250325,10,5,0.6359148025512695,176.34375,4,13
20250325,10,10,1.0469157695770264,188.96875,4,15
20250325,10,15,20.015292167663574,209.46875,5,18
20250325,10,20,29.721505641937256,237.0234375,7,22
20250325,10,25,42.18004393577576,271.6484375,12,40
20250325,10,30,160.8088436126709,312.29296875,13,34
20250325,10,35,672.1310298442841,375.54296875,15,50
20250325,10,40,1353.5742328166962,438.39453125,18,62
20250325,10,45,1436.020382642746,503.58984375,18,63
20250325,10,50,1492.6884512901306,580.140625,18,63
20250325,5,20,27.079240798950195,184.546875,8,32
20250325,10,20,31.668577432632446,215.7421875,8,32
20250325,15,20,40.6517858505249,261.81640625,8,32
20250325,20,20,49.05647158622742,320.875,8,32
20250325,25,20,60.95731449127197,398.36328125,8,32
20250325,30,20,75.97168898582458,488.52734375,8,32
20250325,35,20,92.4015998840332,590.8828125,8,32
20250325,40,20,112.05790901184082,717.48828125,8,32
20250325,45,20,133.1724238395691,850.16796875,8,32
20250325,50,20,156.53666138648987,1006.453125,8,32
20260326,10,5,1.336038589477539,176.62109375,11,19
20260326,10,10,3.8685033321380615,190.49609375,15,29
20260326,10,15,11.452236890792847,210.37109375,16,36
20260326,10,20,22.723979711532593,235.87109375,19,43
20260326,10,25,67.95336246490479,272.99609375,19,49
20260326,10,30,196.11037969589233,313.30078125,21,61
20260326,10,35,540.369148015976,356.17578125,23,68
20260326,10,40,1599.7207131385803,418.02734375,27,82
20260326,10,45,1657.6726424694061,480.60546875,28,84
20260326,10,50,4246.0966012477875,564.8828125,39,115
20260326,5,20,8.04887080192566,184.56640625,12,22
20260326,10,20,9.705223798751831,214.06640625,12,22
20260326,15,20,12.415828704833984,263.81640625,12,22
20260326,20,20,15.193457126617432,326.37109375,12,22
20260326,25,20,18.649314641952515,404.37109375,12,22
20260326,30,20,22.438770294189453,497.74609375,12,22
20260326,35,20,27.720590829849243,607.12109375,12,22
20260326,40,20,32.89920234680176,734.171875,12,22
20260326,45,20,39.182891607284546,876.5703125,12,22
20260326,50,20,45.076836824417114,1032.08203125,12,22
20270327,10,5,0.9816701412200928,176.65625,8,19
20270327,10,10,6.602051258087158,190.65625,15,30
20270327,10,15,6.744245767593384,208.90625,13,31
20270327,10,20,21.876200437545776,235.53125,15,43
20270327,10,25,90.04464793205261,272.4609375,20,58
20270327,10,30,105.4742317199707,306.71875,13,43
20270327,10,35,1432.3694379329681,370.046875,18,72
20270327,10,40,1545.8940470218658,431.03515625,18,72
20270327,10,45,1773.4900374412537,511.92578125,18,74
20270327,10,50,4157.577409029007,594.75390625,20,90
20270327,5,20,45.01852822303772,185.34375,10,43
20270327,10,20,53.471197843551636,215.8984375,10,43
20270327,15,20,61.953288555145264,264.15234375,10,43
20270327,20,20,73.68469977378845,322.83203125,10,43
20270327,25,20,87.87813210487366,395.12890625,10,43
20270327,30,20,103.93520784378052,481.875,10,43
20270327,35,20,123.57823610305786,597.35546875,10,43
20270327,40,20,144.83690285682678,724.2734375,10,43
20270327,45,20,170.45770454406738,862.84375,10,43
20270327,50,20,199.42827248573303,1018.56640625,10,43
20280328,10,5,1.100862979888916,176.79296875,10,21
20280328,10,10,8.603345155715942,191.41796875,18,36
20280328,10,15,29.733041763305664,212.29296875,22,48
20280328,10,20,35.23753905296326,238.79296875,22,49
20280328,10,25,210.00164413452148,280.68359375,29,63
20280328,10,30,389.02587270736694,320.80859375,31,72
20280328,10,35,373.633661031723,361.4140625,27,68
20280328,10,40,2036.0300250053406,434.109375,33,104
20280328,10,45,2559.763972043991,502.82421875,39,105
20280328,10,50,2623.9432814121246,576.4453125,39,105
20280328,5,20,20.811277866363525,185.37109375,12,33
20280328,10,20,22.311055421829224,212.62109375,12,33
20280328,15,20,23.842326402664185,260.87109375,12,33
20280328,20,20,25.493916511535645,325.87109375,12,33
20280328,25,20,27.166763305664062,403.63671875,12,33
20280328,30,20,29.536943912506104,495.63671875,12,33
20280328,35,20,31.548627853393555,603.76171875,12,33
20280328,40,20,34.01427912712097,729.63671875,12,33
20280328,45,20,37.27732276916504,867.88671875,12,33
20280328,50,20,40.38787245750427,1024.4609375,12,33
